group_key,product_id,title,brand,ram,ssd,cpu,mall,first_price,latest_price,min_price,max_price,avg_price,change_rate,period_change_rate,observed_count,seller_count,mall_count,is_latest_min,buy_timing_score,first_date,latest_date,timing_signal,link
LG전자|16Z90SVP55||16GB|512GB,91175326796,LG 그램 16Z90S-VP55 울트라5 16GB 512GB 윈11프로 리퍼 노트북,LG전자,16GB,512GB,,보스위즈,1949000,1949000,1949000,1949000,1949000,0.0,0.0,151,2,2,N,23,2026-06-18,2026-06-24,가격 관찰,https://smartstore.naver.com/main/products/13630816132
레노버|X390|i7|16GB|512GB,59819383036,[리퍼] 레노버 씽크패드 X390 i7 램16GB NVMe512GB Win11 573525,레노버,16GB,512GB,i7,11번가,484530,703900,484530,777670,524644,34.17,45.27,46,3,3,N,20,2026-06-18,2026-06-25,가격 관찰,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9308457681&tid=1000000061
레노버|레노버씽크패드I716G512G터치|i7|16GB|512GB,89251365216,레노버 씽크패드 i7 16G 512G 사무용 인강용 터치 리퍼노트북 윈도우11,레노버,16GB,512GB,i7,피씨솔루션,599000,599000,599000,599000,599000,0.0,0.0,162,1,1,N,19,2026-06-18,2026-06-26,가격 관찰,https://smartstore.naver.com/main/products/11706854749
LG전자|15ZB90QI51240P|i5|16GB|1TB,91174152806,엘지 gram노트북 SSD1TB 윈도우11 그램 15ZB90Q i5 1240P 램16기가,LG전자,16GB,1TB,i5,일체형pc  중고노트북,1299000,1299000,1299000,1299000,1299000,0.0,0.0,162,1,1,N,19,2026-06-18,2026-06-26,가격 관찰,https://smartstore.naver.com/main/products/13629642197
LG전자|14ZB95N|i7|16GB|512GB,91175148329,LG 그램 11세대 인텔i7 램16기가 SSD512GB WIN11 노트북 14ZB95N,LG전자,16GB,512GB,i7,일체형pc  중고노트북,899000,899000,899000,899000,899000,0.0,0.0,129,1,1,N,19,2026-06-19,2026-06-26,가격 관찰,https://smartstore.naver.com/main/products/13630637665
Apple|APPLE맥북프로142024년M4PRO14코어RAM24GB|Apple M4|24GB|512GB,90875969050,Apple 맥북프로 14 2024년 M4 Pro 14코어 RAM 24GB 512GB,Apple,24GB,512GB,Apple M4,스마트리퍼몰,2799000,2799000,2799000,2799000,2799000,0.0,0.0,114,1,1,N,19,2026-06-18,2026-06-26,가격 관찰,https://smartstore.naver.com/main/products/13331458718
레노버|T14S|i5|16GB|512GB,90847758958,Lenovo 리퍼제품 레노버 씽크패드 T14s Gen2 노트북 14인치 FHD1920x1080 윈도우 11 프로 코어 i5-1145G7 512GB SSD 16GB RAM 지문,레노버,16GB,512GB,i5,다정아울렛,682240,682240,682240,682240,682240,0.0,0.0,81,1,1,N,16,2026-06-18,2026-06-26,가격 관찰,https://smartstore.naver.com/main/products/13303248626
삼성전자|삼성플러스2I511세대1135G716GSSD512G윈111|i5|16GB|512GB,91106801324,삼성 노트북 플러스2 i5 11세대-1135G7 16G SSD512G 윈11 15.6인치,삼성전자,16GB,512GB,i5,일체형pc  중고노트북,699000,699000,699000,699000,699000,0.0,0.0,81,1,1,N,16,2026-06-18,2026-06-26,가격 관찰,https://smartstore.naver.com/main/products/13562290957
Apple|MACBOOKAIR2020|i7|16GB|1TB,90740303951,Apple 리퍼제품 MacBook Air 2020 13.3인치인텔 코어 i7 16GB RAM 1TB SSD 스토리지 - 스페이스 그레이리퍼제품,Apple,16GB,1TB,i7,볼트르마켓,1216160,1216160,1216160,1216160,1216160,0.0,0.0,81,1,1,N,16,2026-06-18,2026-06-26,가격 관찰,https://smartstore.naver.com/main/products/13195792854
삼성전자|14U7258V32GB1TB||32GB|1TB,90739609253,Samsung 리퍼제품 삼성 갤럭시 북5 프로 14 U7-258V 32GB 1TB 그레이,삼성전자,32GB,1TB,,볼트르마켓,1980320,1980320,1980320,1980320,1980320,0.0,0.0,81,1,1,N,16,2026-06-18,2026-06-26,가격 관찰,https://smartstore.naver.com/main/products/13195098156
